
C:\Python27\Lib\site-packages\mbed\ndac6416>arm-none-eabi-nm build\release\ndac6416.elf 
0800462c T __aeabi_atexit
08012658 W __aeabi_idiv0
08012658 W __aeabi_ldiv0
0801235c T __aeabi_uldivmod
0800d520 T __ascii_mbtowc
08010af4 T __ascii_wctomb
20007cec B __bss_end__
20000ca0 B __bss_start__
080045bc W __cxa_pure_virtual
08011fa0 T __d2b
20000c9c D __data_end__
200001f8 D __data_start__
080001f8 t __do_global_dtors_aux
20000c98 d __do_global_dtors_aux_fini_array_entry
200001f8 D __dso_handle
08013d54 t __EH_FRAME_BEGIN__
20007cec N __end__
0800bf54 T __errno
08013d60 R __etext
08013d60 R __exidx_end
08013d58 T __exidx_start
08013960 T __exp2f_data
200002c4 D __fdlib_version
08012208 T __fputwc
20000c74 d __frame_dummy_init_array_entry
08013d54 t __FRAME_END__
200006f8 D __global_locale
20007cec N __HeapLimit
08011b30 T __hi0bits
08011bd0 T __i2b
0800b238 T __ieee754_log
0800b4a0 T __ieee754_pow
0800bbfc T __ieee754_sqrt
20000c98 d __init_array_end
20000c74 d __init_array_start
0800ce54 T __libc_init_array
08011b70 T __lo0bits
0800ce9c T __locale_mb_cur_max
20007ce4 B __lock___arc4random_mutex
20007cd8 B __lock___at_quick_exit_mutex
20007cc8 B __lock___atexit_recursive_mutex
20007ccc B __lock___dd_hash_mutex
20007cdc B __lock___env_recursive_mutex
20007cc4 B __lock___malloc_recursive_mutex
20007cd4 B __lock___sfp_recursive_mutex
20007cd0 B __lock___sinit_recursive_mutex
20007ce0 B __lock___tz_mutex
08011dd0 T __lshift
20000864 D __malloc_av_
2000269c B __malloc_current_mallinfo
08004680 T __malloc_lock
200026c4 B __malloc_max_sbrked_mem
200026c8 B __malloc_max_total_mem
20000c6c D __malloc_sbrk_base
200026cc B __malloc_top_pad
20000c70 D __malloc_trim_threshold
08004688 T __malloc_unlock
0800bc84 T __math_divzerof
0800bcb0 T __math_invalidf
0800bc5c T __math_may_uflowf
0800bc70 T __math_oflowf
0800bc48 T __math_uflowf
08011e7c T __mcmp
08011eb4 T __mdiff
08013c58 T __mprec_bigtens
08013c80 T __mprec_tens
08011ab0 T __multadd
08011be4 T __multiply
08009188 t __NVIC_DisableIRQ
0800916c t __NVIC_EnableIRQ
08011d30 T __pow5mult
08013820 T __powf_log2_data
20000c74 d __preinit_array_end
20000c74 d __preinit_array_start
0800cec0 T __retarget_lock_acquire_recursive
0800cebc T __retarget_lock_close_recursive
0800ceb8 T __retarget_lock_init_recursive
0800cec4 T __retarget_lock_release_recursive
08004b04 T __rtos_malloc_lock
08004b14 T __rtos_malloc_unlock
080109c0 t __sbprintf
0800dcac T __sclose
08011970 T __sflags
0800c040 T __sflush_r
0800c2d8 T __sfmoreglue
0800c360 T __sfp
0800c404 T __sfp_lock_acquire
0800c410 T __sfp_lock_release
0800cab8 T __sfvwrite_r
0800c308 T __sinit
0800cf24 T __smakebuf_r
080121f4 T __sprint_r
0801217c t __sprint_r.part.0
0800dc2c T __sread
0800d8e8 T __srefill_r
0800da00 T __srget_r
0800dc8c T __sseek
08012088 T __ssprint_r
20080000 A __stack
20080000 A __StackLimit
20080000 B __StackTop
08012e84 T __stderr_name
08012e8c T __stdin_name
08012e93 T __stdout_name
08010a44 T __swbuf_r
0800cec8 T __swhatbuf_r
0800dc50 T __swrite
08010b3c T __swsetup_r
0801238c T __udivmoddi4
08004198 T __wrap__calloc_r
080042b0 T __wrap__free_r
08004258 T __wrap__malloc_r
08004160 T __wrap__realloc_r
08004636 T __wrap_atexit
08004630 T __wrap_exit
08004ab4 T __wrap_main
08011a50 T _Balloc
08011a9c T _Bfree
0800c2cc T _cleanup_r
080043f4 T _close
08010c08 T _close_r
08013b40 T _ctype_
08010d50 T _dtoa_r
20007cec B _ebss
20000c9c D _edata
20080000 A _estack
08004608 T _exit
0800bf60 T _fclose_r
0800c194 T _fflush_r
08012668 T _fini
0800c41c T _fopen_r
080122a8 T _fputwc_r
0800c58c T _free_r
0800c774 T _fseek_r
0800c778 T _fseeko_r
0800456c T _fstat
0800ca90 T _fstat_r
0800cdb4 T _fwalk
0800ce00 T _fwalk_reent
080034b4 t _GLOBAL__sub_I__ZN4mbed3SPI19_transaction_bufferE
08000f14 t _GLOBAL__sub_I__ZN7SegmentC2EP8EnvelopePFvvE
080013a8 t _GLOBAL__sub_I__ZN9FreqTimerC2EP11TIM_TypeDefm9IRQn_Typemmh
080016b4 t _GLOBAL__sub_I__ZN9FuncTimerC2EP11TIM_TypeDefm9IRQn_Typemmth
0800044c t _GLOBAL__sub_I_ADCS
08000884 t _GLOBAL__sub_I_DACS
080027f0 t _GLOBAL__sub_I_pc
0800aa58 t _GLOBAL__sub_I_VCOS
08013aa8 T _global_impure_ptr
080039ba t _gpio_init_in
080039e0 t _gpio_init_out.part.2
200002c8 D _impure_ptr
0801265c T _init
080044f0 T _isatty
080119e4 T _isatty_r
08011a08 T _localeconv_r
0800452c T _lseek
08011a24 T _lseek_r
200057b8 B _main_obj
20005808 B _main_stack
20007884 B _main_thread_attr
08000238 T _mainCRTStartup
0800cfd8 T _malloc_r
0800c4ec T _malloc_trim_r
08004710 T _open
0800d880 T _open_r
         U _printf_float
08004498 T _read
0801205c T _read_r
080045c4 W _sbrk
0800da34 T _sbrk_r
20000ca0 B _sbss
         U _scanf_float
200001f8 D _sdata
08013d60 R _sidata
08000238 T _start
0800e168 T _svfprintf_r
08003c20 T _ticker_match_interval_passed
0800f548 T _vfprintf_r
0801230c T _wcrtomb_r
08004434 T _write
08010b10 T _write_r
080018b0 T _Z10IRQBlinkerv
08000e4c T _Z6envtstP7LTC2668bb
080019c0 T _Z7getcharPKc
0800a2ac T _Z7VCOAdj0P3VCO
080019a4 T _Z8gpiodumpP12GPIO_TypeDef
0800175c T _Z8Tuneups0v
08001774 T _Z8Tuneups1v
0800178c T _Z8Tuneups2v
080017a4 T _Z8Tuneups3v
080017bc T _Z8Tuneups4v
080017d4 T _Z8Tuneups5v
080019f8 T _Z9SetupSPIsv
0800195c T _Z9timerdumpP11TIM_TypeDef
080046c4 T _ZdaPv
080046c0 T _ZdlPv
20001e4c b _ZL10heap_stats
20001e98 b _ZL11filehandles
20000d8c b _ZL11funccounter
080043c8 t _ZL11init_serialv
20000214 d _ZL14idle_hook_fptr
2000262c b _ZL14terminate_hook
20001f98 b _ZL16filehandle_mutex
08004bba t _ZL17default_idle_hookv
20001e64 b _ZL18malloc_stats_mutex
